Index,Symbol,TradeCenterId,CategoryId,CompanyName,CategoryName
24,ACS,9,345,Công ty Cổ phần Xây lắp Thương mại 2,Bất động sản và Xây dựng
25,ACV,9,343,Tổng công ty Cảng hàng không Việt Nam - CTCP,Công nghiệp
26,ADC,2,346,Công ty Cổ phần Mĩ thuật và Truyền thông,Dịch vụ
27,ADG,1,346,Công ty cổ phần Clever Group,Dịch vụ
28,ADP,1,344,Công ty Cổ phần Sơn Á Đông,Nguyên vật liệu
29,ADS,1,339,Công ty cổ phần Damsan,Hàng tiêu dùng
30,AFM,8,0,Công ty Cổ phần Quản lý quỹ AIC,
31,AFX,9,338,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Nông nghiệp
32,AG1,9,339,Công ty Cổ phần 28.1,Hàng tiêu dùng
33,AGF,9,338,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Nông nghiệp
34,AGG,1,345,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản và Xây dựng
35,AGM,9,338,Công ty cổ phần Xuất nhập khẩu An Giang,Nông nghiệp
36,AGP,9,342,Công ty cổ phần Dược phẩm Agimexpharm,Y tế
37,AGR,1,341,Công ty Cổ phần Chứng khoán Agribank,Tài chính
38,AGX,9,339,Công ty cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Hàng tiêu dùng
39,AIC,9,341,Tổng Công ty cổ phần Bảo hiểm Hàng không,Tài chính
40,AIG,9,0,Công ty Cổ phần Nguyên liệu Á Châu AIG,
41,ALC,8,340,CTCP Âu Lạc,Năng lượng
42,ALT,2,346,Công ty Cổ phần Văn hóa Tân Bình,Dịch vụ
43,ALV,9,345,Công ty Cổ phần Tập Đoàn MCST,Bất động sản và Xây dựng
44,AMC,2,344,Công ty cổ phần Khoáng sản Á Châu,Nguyên vật liệu
45,AMD,9,347,Công ty cổ phần Đầu tư và Khoáng sản FLC Stone,Công nghệ
46,AME,2,345,Công ty Cổ phần Alphanam E&C,Bất động sản và Xây dựng
47,AMP,9,342,Công ty Cổ phần Armephaco,Y tế
48,AMS,9,343,Công ty Cổ phần Cơ khí xây dựng AMECC,Công nghiệp
49,AMV,2,342,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y,Y tế
50,ANT,9,338,Công ty cổ phần Rau quả Thực phẩm An Giang,Nông nghiệp
51,ANV,1,338,Công ty Cổ phần Nam Việt,Nông nghiệp
52,APC,9,338,Công ty Cổ phần Chiếu xạ An Phú,Nông nghiệp
53,APF,9,338,Công ty Cổ phần Nông sản thực phẩm Quảng Ngãi,Nông nghiệp
54,APG,1,341,Công ty Cổ phần Chứng khoán APG,Tài chính
55,APH,1,344,Công ty Cổ phần Tập đoàn An Phát Holdings,Nguyên vật liệu
56,API,2,341,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Tài chính
57,APL,9,343,CTCP Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp
58,APP,9,344,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm Dầu mỏ,Nguyên vật liệu
59,APS,2,341,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,Tài chính
60,APT,9,338,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,Nông nghiệp
61,ARM,2,346,Công ty Cổ phần Xuất nhập khẩu Hàng không,Dịch vụ
62,ART,9,341,Công ty Cổ phần Chứng khoán BOS,Tài chính
63,ASC,8,341,Công ty Cổ phần Chứng khoán ASC,Tài chính
64,ASG,1,343,Cổ phiếu Công ty Cổ phần Tập đoàn ASG,Công nghiệp
65,ASM,1,345,Công ty Cổ phần Tập đoàn Sao Mai,Bất động sản và Xây dựng
66,ASP,1,340,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Năng lượng
67,AST,1,343,Công ty Cổ phần Dịch vụ Hàng không Taseco,Công nghiệp
68,ATA,9,338,Công ty Cổ phần NTACO,Nông nghiệp
69,ATB,9,345,Công ty Cổ phần An Thịnh,Bất động sản và Xây dựng
70,ATG,9,344,Công ty Cổ phần An Trường An,Nguyên vật liệu
71,ATS,2,342,Công ty cổ phần Tập đoàn Đầu tư ATS,Y tế
72,AVC,9,340,Công ty cổ phần Thuỷ điện A Vương,Năng lượng
73,AVG,9,346,CTCP Phân bón Quốc tế Âu Việt,Dịch vụ
74,BAB,2,341,Ngân hàng Thương mại cổ phần Bắc Á,Tài chính
75,BAF,1,338,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Nông nghiệp
76,BAL,9,339,Công ty cổ phần Bao bì Bia – Rượu – Nước giải khát,Hàng tiêu dùng
77,BAX,2,345,Công ty Cổ phần Thống Nhất,Bất động sản và Xây dựng
78,BBC,1,339,Công ty Cổ phần Bibica,Hàng tiêu dùng
79,BBH,9,344,CTCP Bao bì Hoàng Thạch,Nguyên vật liệu
80,BBM,9,339,Công ty Cổ phần Bia Hà Nội - Nam Định,Hàng tiêu dùng
81,BBS,2,344,Công ty cổ phần VICEM Bao bì Bút Sơn,Nguyên vật liệu
82,BBT,9,342,Công ty Cổ phần Bông Bạch Tuyết,Y tế
83,BCA,9,344,Công ty cổ phần B.C.H,Nguyên vật liệu
84,BCB,9,340,Công ty cổ phần 397,Năng lượng
85,BCC,2,345,Công ty Cổ phần Xi măng Bỉm Sơn,Bất động sản và Xây dựng
86,BCE,1,345,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Bất động sản và Xây dựng
87,BCF,2,339,Công ty Cổ phần Thực phẩm Bích Chi,Hàng tiêu dùng
88,BCG,1,341,Công ty cổ phần Bamboo Capital,Tài chính
89,BCM,1,345,Tổng Công ty Đầu tư và phát triển Công nghiệp - CTCP,Bất động sản và Xây dựng
90,BCP,9,344,Công ty cổ phần Dược Enlie,Nguyên vật liệu
91,BCR,9,0,Công ty cổ phần BCG Land,
92,BCV,9,346,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ
93,BDB,2,346,Công ty Cổ phần Sách và Thiết bị Bình Định,Dịch vụ
94,BDG,9,339,Công ty cổ phần May mặc Bình Dương,Hàng tiêu dùng
95,BDT,9,345,Công ty Cổ phần Xây lắp và Vật liệu Xây dựng Đồng Tháp,Bất động sản và Xây dựng
96,BDW,9,346,Công ty cổ phần Cấp thoát nước Bình Định,Dịch vụ
97,BED,2,346,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Dịch vụ
98,BEL,9,347,CTCP Điện tử Biên Hòa,Công nghệ
99,BFC,1,338,Công ty cổ phần Phân bón Bình Điền,Nông nghiệp
100,BFI,8,0,Công ty cổ phần Đầu tư tài chính BIDV,
101,BGE,9,0,Công ty cổ phần BCG Energy,
102,BGW,9,346,Công ty Cổ phần Nước sạch Bắc Giang,Dịch vụ
103,BHA,9,340,Công ty Cổ phần Thủy điện Bắc Hà,Năng lượng
104,BHC,9,345,Công ty Cổ phần Bê tông Biên Hòa,Bất động sản và Xây dựng
105,BHG,9,338,Công ty cổ phần Chè Biển Hồ,Nông nghiệp
106,BHH,9,0,Công ty cổ phần Thương mại Bia Hà Nội - Hưng Yên 89,
107,BHI,9,0,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,
108,BHK,9,339,Công ty Cổ phần Bia Hà Nội - Kim Bài,Hàng tiêu dùng
109,BHN,1,339,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Hàng tiêu dùng
110,BHP,9,339,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Hàng tiêu dùng
111,BIC,1,341,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và phát triển Việt Nam,Tài chính
112,BID,1,341,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Tài chính
113,BIG,9,345,CTCP Big Invest Group,Bất động sản và Xây dựng
114,BII,9,345,Công ty cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản và Xây dựng
115,BIO,9,342,Công ty cổ phần Vắc xin và Sinh phẩm Nha Trang,Y tế
116,BJC,8,0,Công Ty Cổ Phần VRG - Bảo Lộc,
117,BKC,2,344,Công ty Cổ phần Khoáng sản Bắc Kạn,Nguyên vật liệu
118,BKG,1,346,Công ty Cổ phần Đầu tư BKG Việt Nam,Dịch vụ
119,BLF,9,338,Công ty Cổ phần Thủy sản Bạc Liêu,Nông nghiệp
120,BLI,9,341,Tổng Công ty cổ phần Bảo hiểm Bảo Long ,Tài chính
121,BLN,9,343,CTCP Vận tải và Dịch vụ Liên Ninh,Công nghiệp
122,BLT,9,338,Công ty Cổ phần Lương thực Bình Định,Nông nghiệp
123,BLW,8,346,Công ty cổ phần Cấp nước Bạc Liêu,Dịch vụ
124,BMC,1,344,Công ty cổ phần Khoáng sản Bình Định,Nguyên vật liệu
125,BMD,9,346,Công ty Cổ phần Môi trường và Dịch vụ đô thị Bình Thuận,Dịch vụ
126,BMF,9,340,Công ty cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,Năng lượng
127,BMG,9,339,Công ty cổ phần May Bình Minh,Hàng tiêu dùng
128,BMI,1,341,Tổng Công ty Cổ phần Bảo Minh,Tài chính
129,BMJ,9,345,Công ty Cổ phần Khoáng sản Miền Đông AHP,Bất động sản và Xây dựng
130,BMK,9,0,Công ty cổ phần Kỹ thuật nhiệt Mèo Đen,
131,BMP,1,345,Công ty Cổ phần Nhựa Bình Minh,Bất động sản và Xây dựng
132,BMS,9,341,Công ty Cổ phần Chứng khoán Bảo Minh,Tài chính
133,BMV,9,338,Công ty Cổ phần Bột mỳ Vinafood 1,Nông nghiệp
134,BNA,2,339,Công ty cổ phần Tập đoàn Đầu tư Bảo Ngọc,Hàng tiêu dùng
135,BNC,8,346,Công ty cổ phần Dịch vụ Cáp treo Bà Nà,Dịch vụ
136,BNW,9,346,Công ty cổ phần Nước sạch Bắc Ninh,Dịch vụ
137,BOT,9,343,Công ty cổ phần BOT Cầu Thái Hà,Công nghiệp
138,BPC,2,344,Công ty cổ phần Vicem Bao bì Bỉm Sơn,Nguyên vật liệu
139,BQB,9,339,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Hàng tiêu dùng
140,BRC,1,344,Công ty Cổ phần Cao su Bến Thành,Nguyên vật liệu
141,BRR,9,338,Công ty Cổ phần Cao su Bà Rịa,Nông nghiệp
142,BRS,9,346,Công ty Cổ phần Dịch vụ đô thị Bà Rịa,Dịch vụ
143,BSA,9,340,Công ty cổ phần Thủy điện Buôn Đôn,Năng lượng
144,BSC,2,346,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ
145,BSD,9,339,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Hàng tiêu dùng
146,BSG,9,343,Công ty Cổ phần Xe khách Sài Gòn,Công nghiệp
147,BSH,9,339,Công ty cổ phần Bia Sài Gòn - Hà Nội,Hàng tiêu dùng
148,BSI,1,341,Công ty cổ phần Chứng khoán BIDV,Tài chính
149,BSL,9,339,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Hàng tiêu dùng
150,BSP,9,339,Công ty cổ phần Bia Sài Gòn - Phú Thọ,Hàng tiêu dùng
151,BSQ,9,339,Công ty cổ phần Bia Sài Gòn - Quảng Ngãi,Hàng tiêu dùng
152,BSR,1,340,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Năng lượng
153,BST,2,346,Công ty Cổ phần Sách - Thiết bị Bình Thuận,Dịch vụ
154,BT1,9,338,Công ty cổ phần Bảo vệ Thực vật 1 Trung ương,Nông nghiệp
155,BTA,8,345,CTCP Bất động sản Bình Thiên An,Bất động sản và Xây dựng
156,BTB,9,339,Công ty Cổ phần Bia Hà Nội - Thái Bình,Hàng tiêu dùng
157,BTD,9,345,Công ty Cổ phần Bê tông Ly tâm Thủ Đức,Bất động sản và Xây dựng
158,BTG,9,344,Công ty Cổ phần Bao bì Tiền Giang,Nguyên vật liệu
159,BTH,9,343,Công ty Cổ phần Chế tạo Biến thế và Vật liệu điện Hà Nội,Công nghiệp
160,BTJ,8,346,CTCP Vàng bạc đá quý Bến Thành,Dịch vụ
161,BTL,8,0,Công ty Cổ phần Đầu tư Địa ốc Bến Thành,
162,BTN,9,345,Công ty Cổ phần Gạch Tuy Nen Bình Định,Bất động sản và Xây dựng
163,BTP,1,340,Công ty Cổ phần Nhiệt điện Bà Rịa,Năng lượng
164,BTS,2,345,Công ty cổ phần Xi măng Vicem Bút Sơn,Bất động sản và Xây dựng
165,BTT,1,346,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Dịch vụ
166,BTU,9,345,CTCP Công trình Đô thị Bến Tre,Bất động sản và Xây dựng
167,BTV,9,346,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,Dịch vụ
168,BTW,2,346,Công ty Cổ phần Cấp nước Bến Thành,Dịch vụ
169,BVB,9,341,Ngân hàng Thương mại cổ phần Bản Việt,Tài chính
170,BVF,8,341,Công ty TNHH Quản lý Quỹ Bảo Việt,Tài chính
171,BVG,9,343,Công ty Cổ phần GROUP Bắc Việt,Công nghiệp
172,BVH,1,341,Tập đoàn Bảo Việt,Tài chính
173,BVL,9,345,Công ty cổ phần BV Land,Bất động sản và Xây dựng
174,BVN,9,339,Công ty cổ phần Bông Việt Nam,Hàng tiêu dùng
175,BVS,2,341,Công ty Cổ phần Chứng khoán Bảo Việt,Tài chính
176,BWA,9,346,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Dịch vụ
177,BWE,1,346,Công ty Cổ phần Nước – Môi trường Bình Dương,Dịch vụ
178,BWS,9,346,Công ty cổ phần Cấp nước Bà Rịa - Vũng Tàu,Dịch vụ
179,BXH,2,344,Công ty cổ phần VICEM Bao bì Hải Phòng,Nguyên vật liệu
180,C21,9,345,Công ty cổ phần Thế kỷ 21,Bất động sản và Xây dựng
181,C22,9,338,Công ty Cổ phần 22,Nông nghiệp
182,C32,1,345,Công ty Cổ phần CIC39,Bất động sản và Xây dựng
183,C47,1,345,Công ty Cổ phần Xây dựng 47,Bất động sản và Xây dựng
184,C4G,9,345,Công ty cổ phần Tập đoàn CIENCO4,Bất động sản và Xây dựng
185,C69,2,345,Công ty Cổ phần Xây dựng 1369,Bất động sản và Xây dựng
186,C92,9,345,Công ty Cổ phần Xây dựng và Đầu tư 492,Bất động sản và Xây dựng
187,CAB,9,346,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,Dịch vụ
188,CAD,9,338,Công ty Cổ phần Chế biến và Xuất nhập khẩu Thủy sản CADOVIMEX,Nông nghiệp
189,CAG,2,343,Công ty Cổ phần Cảng An Giang,Công nghiệp
190,CAN,2,339,Công ty Cổ phần Đồ hộp Hạ Long,Hàng tiêu dùng
191,CAP,2,338,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nông nghiệp
192,CAR,2,346,Công ty Cổ phần Tập đoàn Giáo dục Trí Việt,Dịch vụ
193,CAT,9,338,Công ty Cổ phần Thủy sản Cà Mau,Nông nghiệp
194,CBI,9,345,Công ty Cổ phần Gang thép Cao Bằng,Bất động sản và Xây dựng
195,CBS,9,338,Công ty Cổ phần Mía đường Cao Bằng,Nông nghiệp
196,CC1,9,345,Tổng Công ty Xây dựng số 1 - CTCP,Bất động sản và Xây dựng
197,CCA,9,338,CTCP Xuất nhập khẩu Thủy sản Cần Thơ,Nông nghiệp
198,CCC,1,0,Công ty Cổ phần xây dựng CDC,
199,CCI,1,345,Công ty Cổ phần Đầu tư Phát triển Công nghiệp - Thương mại Củ Chi,Bất động sản và Xây dựng
200,CCL,1,345,Công ty cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản và Xây dựng
201,CCM,9,345,Công ty Cổ phần Khoáng sản & Xi măng Cần Thơ,Bất động sản và Xây dựng
202,CCP,9,340,Công ty cổ phần Cảng Cửa Cấm Hải Phòng,Năng lượng
203,CCR,2,343,Công ty cổ phần Cảng Cam Ranh ,Công nghiệp
204,CCT,9,343,Công ty Cổ phần Cảng Cần Thơ,Công nghiệp
205,CCV,9,345,Công ty cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Bất động sản và Xây dựng
206,CDC,1,345,Công ty Cổ phần Chương Dương  ,Bất động sản và Xây dựng
207,CDG,9,345,Công ty Cổ phần Cầu Đuống,Bất động sản và Xây dựng
208,CDH,9,346,CTCP Công trình công cộng Dịch vụ Du lịch Hải Phòng,Dịch vụ
209,CDN,2,343,Công ty cổ phần Cảng Đà Nẵng,Công nghiệp
210,CDO,9,345, Công ty Cổ phần Tư vấn thiết kế và Phát triển đô thị,Bất động sản và Xây dựng
211,CDP,9,342,Công ty cổ phần Dược phẩm Trung ương Codupha,Y tế
212,CDR,9,345,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Bất động sản và Xây dựng
213,CE1,9,343,Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1,Công nghiệp
214,CEG,9,343,Công ty Cổ phần Tập đoàn Xây dựng và Thiết bị Công nghiệp,Công nghiệp
215,CEN,9,350,Công ty Cổ phần CENCON Việt Nam,Doanh nghiệp Upcom
216,CEO,2,345,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản và Xây dựng
217,CET,2,343,Công ty cổ phần HTC Holding,Công nghiệp
218,CFM,9,346,CTCP Đầu tư CFM,Dịch vụ
219,CFV,9,338,Công ty cổ phần Cà phê Thắng Lợi,Nông nghiệp
220,CGV,9,345,Công ty Cổ phần Sành sứ Thủy tinh Việt Nam,Bất động sản và Xây dựng
221,CH5,9,345,Công ty Cổ phần Xây dựng Số 5 Hà Nội,Bất động sản và Xây dựng
222,CHC,9,339,Công ty Cổ phần Cẩm Hà,Hàng tiêu dùng
223,CHP,1,340,Công ty Cổ phần Thủy điện miền Trung,Năng lượng
224,CHS,9,340,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Năng lượng
225,CI5,9,345,Công ty cổ phần Đầu tư Xây dựng số 5,Bất động sản và Xây dựng
226,CIA,2,343,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,Công nghiệp
227,CID,9,345,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Bất động sản và Xây dựng
228,CIG,1,345,Công ty Cổ phần COMA18,Bất động sản và Xây dựng
229,CII,1,343,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Công nghiệp
230,CIP,9,345,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Bất động sản và Xây dựng
231,CJC,2,343,Công ty Cổ phần Cơ điện Miền Trung,Công nghiệp
232,CK8,9,343,Công ty Cổ phần Cơ khí 120,Công nghiệp
233,CKA,9,343,Công ty cổ phần Cơ khí An Giang,Công nghiệp
234,CKD,9,344,Công ty cổ phần Cơ khí Đông Anh Licogi,Nguyên vật liệu
235,CKG,1,345,Công ty Cổ phần Tập đoàn CIC,Bất động sản và Xây dựng
236,CKV,2,346,Công ty Cổ phần COKYVINA,Dịch vụ
237,CLC,1,344,Công ty Cổ phần Cát Lợi ,Nguyên vật liệu
238,CLG,9,345,Công ty Cổ phần Đầu tư và Phát triển Nhà đất COTEC,Bất động sản và Xây dựng
239,CLH,2,345,Công ty cổ phần Xi măng La Hiên VVMI,Bất động sản và Xây dựng
240,CLL,1,343,Công ty cổ phần Cảng Cát Lái,Công nghiệp
241,CLM,2,340,CTCP Xuất nhập khẩu Than - Vinacomin,Năng lượng
242,CLW,1,346,Công ty Cổ phần Cấp nước Chợ Lớn,Dịch vụ
243,CLX,9,346,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (Cholimex),Dịch vụ
244,CMC,2,343,Công ty Cổ phần Đầu tư CMC,Công nghiệp
245,CMD,9,345,CTCP Vật liệu Xây dựng và Trang trí Nội thất Thành phố Hồ Chí Minh,Bất động sản và Xây dựng
246,CMF,9,339,Công ty Cổ phần Thực phẩm Cholimex,Hàng tiêu dùng
247,CMG,1,347,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ
248,CMI,9,344,Công ty cổ phần CMISTONE Việt Nam,Nguyên vật liệu
249,CMK,9,343,Công ty cổ phần Cơ khí Mạo khê - Vinacomin,Công nghiệp
250,CMM,9,338,Công ty cổ phần Camimex,Nông nghiệp
251,CMN,9,338,Công ty Cổ phần Lương thực Thực phẩm Colusa-Miliket,Nông nghiệp
252,CMP,9,343,CTCP Cảng Chân Mây,Công nghiệp
253,CMS,2,346,Công ty cổ phần Tập đoàn CMH Việt Nam,Dịch vụ
254,CMT,9,347,Công ty Cổ phần Công nghệ Mạng và Truyền thông,Công nghệ
255,CMV,1,340,Công ty Cổ phần Thương nghiệp Cà Mau,Năng lượng
256,CMW,9,346,Công ty Cổ phần Cấp nước Cà Mau,Dịch vụ
257,CMX,1,338,Công ty Cổ phần Camimex Group,Nông nghiệp
258,CNA,9,338,Công ty cổ phần Tổng Công ty Chè Nghệ An,Nông nghiệp
259,CNC,9,342,Công ty cổ phần Công nghệ cao Traphaco,Y tế
260,CNG,1,340,Công ty cổ phần CNG Việt Nam,Năng lượng
261,CNN,9,345,"CTCP Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO",Bất động sản và Xây dựng
262,CNS,8,343,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,Công nghiệp
263,CNT,9,345,Công ty Cổ phần Tập đoàn CNT,Bất động sản và Xây dựng
264,COM,1,340,Công ty Cổ phần Vật tư - Xăng dầu ,Năng lượng
265,CPA,9,338,Công ty cổ phần Cà phê Phước An,Nông nghiệp
266,CPC,2,338,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Nông nghiệp
267,CPH,9,350,Công ty Cổ phần Mai táng Hải Phòng,Doanh nghiệp Upcom
268,CPI,9,343,Công ty Cổ phần Đầu tư Cảng Cái Lân,Công nghiệp
269,CQN,9,343,Công ty cổ phần Cảng Quảng Ninh,Công nghiệp
270,CQT,9,345,Công ty cổ phần Xi măng Quán Triều VVMI,Bất động sản và Xây dựng
271,CRC,1,343,Công ty Cổ phần Create Capital Việt Nam,Công nghiệp
272,CRE,1,345,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản và Xây dựng
273,CRV,8,0,,
274,CSC,2,345,Công ty Cổ phần Tập đoàn COTANA,Bất động sản và Xây dựng
275,CSI,9,341,Công ty cổ phần Chứng khoán Kiến thiết Việt Nam,Tài chính
276,CSM,1,343,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Công nghiệp
277,CST,2,340,Công ty cổ phần Than Cao Sơn - TKV,Năng lượng
278,CSV,1,344,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Nguyên vật liệu
279,CT3,9,345,Công ty Cổ phần Đầu tư và Xây dựng Công trình 3,Bất động sản và Xây dựng
280,CT6,9,345,Công ty Cổ phần Công trình 6,Bất động sản và Xây dựng
281,CTB,2,343,Công ty Cổ phần Chế tạo Bơm Hải Dương,Công nghiệp
282,CTC,2,346,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Dịch vụ
283,CTD,1,345,Công ty Cổ phần Xây dựng Coteccons,Bất động sản và Xây dựng
284,CTF,1,343,Công ty cổ phần City Auto,Công nghiệp
285,CTG,1,341,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Tài chính
286,CTI,1,345,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Bất động sản và Xây dựng
287,CTP,2,338,Công ty cổ phần Hòa Bình Takara,Nông nghiệp
288,CTR,1,0,Tổng Công ty Cổ phần Công trình Viettel,
289,CTS,1,341,Công ty cổ phần Chứng khoán Ngân hàng Công thương,Tài chính
290,CTT,2,343,CTCP Chế tạo máy Vinacomin,Công nghiệp
291,CTW,9,346,CTCP Cấp thoát nước Cần Thơ,Dịch vụ
292,CTX,9,344,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Nguyên vật liệu
293,CVT,1,345,Công ty Cổ phần CMC,Bất động sản và Xây dựng
294,CX8,2,345,Công ty cổ phần Đầu tư và Xây lắp Constrexim số 8,Bất động sản và Xây dựng
295,CYC,9,345,Công ty Cổ phần Gạch men Chang Yih ,Bất động sản và Xây dựng
296,D11,2,345,Công ty Cổ phần Địa ốc 11,Bất động sản và Xây dựng
297,D2D,1,345,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Bất động sản và Xây dựng
298,DAC,9,345,Công ty Cổ phần 382 Đông Anh,Bất động sản và Xây dựng
299,DAD,2,346,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ
300,DAE,2,346,Công ty Cổ phần Sách Giáo dục tại Tp. Đà Nẵng,Dịch vụ
301,DAF,8,0,Ngân hàng Thương mại cổ phần Đông Á,
302,DAH,1,346,Công ty cổ phần Tập đoàn Khách sạn Đông Á,Dịch vụ
303,DAN,9,342,Công ty cổ phần Dược Danapha,Y tế
304,DAS,9,339,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Hàng tiêu dùng
305,DAT,1,338,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Nông nghiệp
306,DBC,1,338,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Nông nghiệp
307,DBD,1,342,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,Y tế
308,DBM,9,344,Công ty Cổ phần Dược - Vật tư Y tế Đăk Lăk,Nguyên vật liệu
309,DBT,1,342,Công ty Cổ phần Dược phẩm Bến Tre,Y tế
310,DC1,9,345,Công ty cổ phần Đầu tư Phát triển Xây dựng số 1,Bất động sản và Xây dựng
311,DC2,2,345,Công ty Cổ phần Đầu tư Phát triển - Xây dựng số 2,Bất động sản và Xây dựng
